name,activation,solver,hidden_layer_sizes,alpha,learning_rate_init,mean_accuracy,mean_balanced_accuracy,mean_macro_f1,mean_weighted_f1,mean_n_train_original,mean_n_train_augmented,std_macro_f1,oof_accuracy,oof_balanced_accuracy,oof_macro_f1,oof_weighted_f1
"relu_adam__hls-(64,)__alpha-1e-05__lr-0.001",relu,adam,"(64,)",1e-05,0.001,0.7719842164233989,0.7693279366489477,0.700892506657771,0.7755439289331366,6742.222222222223,9685.333333333334,0.0786974078847053,0.778905735003296,0.7888333035961089,0.7767671071237938,0.7755791664166488
"relu_adam__hls-(128,)__alpha-0.0001__lr-0.001",relu,adam,"(128,)",0.0001,0.001,0.7710454393457449,0.758019037859305,0.7013787723026249,0.7750188290701453,6742.222222222223,9685.333333333334,0.085245478945995,0.7796967699406724,0.7858468350684267,0.7766535691629356,0.7762572344803976
"relu_adam__hls-(64,)__alpha-0.0001__lr-0.001",relu,adam,"(64,)",0.0001,0.001,0.7705062364599642,0.7677008883576851,0.7010473648919038,0.7746046214717567,6742.222222222223,9685.333333333334,0.07934282379087192,0.7778510217534608,0.7872484221596631,0.7760651765550024,0.7746065901641651
"relu_adam__hls-(128,64,32)__alpha-1e-05__lr-0.0001",relu,adam,"(128, 64, 32)",1e-05,0.0001,0.7713470099704799,0.7681354264901867,0.7037855542592811,0.7757416211276432,6742.222222222223,9685.333333333334,0.08289652458004666,0.777587343441002,0.7838256488097752,0.775572603107557,0.7747382352308825
"relu_adam__hls-(64,)__alpha-0.001__lr-0.001",relu,adam,"(64,)",0.001,0.001,0.7703901121350388,0.7644755784327623,0.6965405380012116,0.7741221846311289,6742.222222222223,9685.333333333334,0.07986200896990947,0.777587343441002,0.7871235689028435,0.775492545012764,0.7743824481301576
"relu_adam__hls-(128,)__alpha-0.0001__lr-0.0005",relu,adam,"(128,)",0.0001,0.0005,0.7715993985902649,0.7641642487172923,0.7024603657291745,0.7758757698218884,6742.222222222223,9685.333333333334,0.08507724139878602,0.7782465392221489,0.7872656507453754,0.7754229439304763,0.774754829675925
"relu_adam__hls-(128,)__alpha-0.001__lr-0.0005",relu,adam,"(128,)",0.001,0.0005,0.770939781979732,0.7637353363883278,0.7021329717349158,0.7751984606346026,6742.222222222223,9685.333333333334,0.08697656710611282,0.7781147000659195,0.7877973776149759,0.7753640159297005,0.7746679025063855
"tanh_adam__hls-(128,)__alpha-1e-05__lr-0.001",tanh,adam,"(128,)",1e-05,0.001,0.7684357029674813,0.757347924232723,0.7009966618620358,0.7732394254991789,6742.222222222223,9685.333333333334,0.08410608720202796,0.7783783783783784,0.7782834315894254,0.7750040660010851,0.7757019549245042
"tanh_adam__hls-(128,)__alpha-0.0001__lr-0.001",tanh,adam,"(128,)",0.0001,0.001,0.7684357029674813,0.757347924232723,0.7009966618620358,0.7732394254991789,6742.222222222223,9685.333333333334,0.08410608720202796,0.7783783783783784,0.7782834315894254,0.7750040660010851,0.7757019549245042
"relu_adam__hls-(128,64)__alpha-0.0001__lr-0.0005",relu,adam,"(128, 64)",0.0001,0.0005,0.7716857005065714,0.7505836682023477,0.7034408006703248,0.7766646752602608,6742.222222222223,9685.333333333334,0.08740869380492705,0.7765326301911668,0.7780928286395457,0.7747596151352407,0.7742126405127194
